receipt_number,payment_amount,payment_date,payment_method,contract_number
9904,1050.12,2022-02-03,Credit Card,9904
9905,1323.87,2020-11-02,Credit Card,9905
9906,2820.11,2020-07-19,Bank Transfer,9906
9907,379.71,2021-09-01,PayPal,9907
9908,497.64,2023-04-12,Cash,9908
9909,1055.65,2020-06-25,Cash,9909
9910,830.16,2021-05-12,Credit Card,9910
9911,480.13,2020-03-25,Credit Card,9911
9912,488.34,2021-04-23,Credit Card,9912
9913,704.22,2023-11-16,Cash,9913
9914,2629.35,2020-11-22,PayPal,9914
9915,798.3,2022-12-18,Bank Transfer,9915
9916,2224.91,2023-09-28,Bank Transfer,9916
9917,1790.51,2023-01-21,Bank Transfer,9917
9918,2726.11,2020-02-01,PayPal,9918
9919,2130.52,2020-01-18,Bank Transfer,9919
9920,1140.1,2023-05-08,Cash,9920
9921,1749.57,2023-03-22,Credit Card,9921
9922,1890.2,2023-01-25,Bank Transfer,9922
9923,2566.5,2022-02-20,PayPal,9923
9924,973.51,2023-05-18,Cash,9924
9925,1477.8,2023-03-12,PayPal,9925
9926,1745.27,2022-12-29,Credit Card,9926
9927,314.98,2020-11-11,PayPal,9927
9928,925.5,2022-06-12,Credit Card,9928
9929,2179.47,2021-12-14,PayPal,9929
9930,168.12,2023-04-03,Credit Card,9930
9931,1580.49,2022-06-24,PayPal,9931
9932,263.0,2020-08-29,PayPal,9932
9933,932.89,2022-06-29,Cash,9933
9934,2235.24,2023-02-11,Cash,9934
9935,872.5,2021-09-30,Cash,9935
9936,1001.43,2023-03-01,Cash,9936
9937,2669.73,2022-04-07,Cash,9937
9938,1462.2,2023-08-16,PayPal,9938
9939,1208.57,2021-09-04,Cash,9939
9940,2267.37,2021-08-08,Credit Card,9940
9941,391.46,2020-04-16,Credit Card,9941
9942,1246.84,2020-02-09,Bank Transfer,9942
9943,834.14,2022-10-21,Cash,9943
9944,2211.28,2021-09-18,Cash,9944
9945,1825.07,2022-11-18,Credit Card,9945
9946,2890.72,2022-06-09,PayPal,9946
9947,335.75,2023-02-02,Credit Card,9947
9948,2608.26,2021-09-01,Cash,9948
9949,2208.98,2021-06-18,PayPal,9949
9950,532.82,2020-02-16,Cash,9950
9951,161.05,2022-04-10,Bank Transfer,9951
9952,910.09,2021-03-18,Cash,9952
9953,2697.81,2021-01-23,Bank Transfer,9953
9954,2083.19,2022-08-17,Credit Card,9954
9955,2209.77,2023-07-09,Bank Transfer,9955
9956,1207.64,2022-07-21,Bank Transfer,9956
9957,636.13,2022-03-04,Credit Card,9957
9958,2332.61,2020-01-07,Bank Transfer,9958
9959,707.03,2023-08-02,PayPal,9959
9960,2991.5,2020-10-07,Cash,9960
9961,1680.83,2020-05-21,PayPal,9961
9962,127.57,2023-07-19,Bank Transfer,9962
9963,2812.69,2023-07-24,Credit Card,9963
9964,2674.52,2022-03-21,Bank Transfer,9964
9965,1688.57,2020-10-30,Bank Transfer,9965
9966,2989.64,2022-04-02,Credit Card,9966
9967,1563.1,2022-12-13,Cash,9967
9968,891.22,2020-09-20,Bank Transfer,9968
9969,2505.42,2020-02-12,Bank Transfer,9969
9970,2108.01,2022-01-06,Credit Card,9970
9971,1871.09,2023-04-23,Bank Transfer,9971
9972,1932.42,2021-03-01,Cash,9972
9973,2090.3,2022-05-15,Cash,9973
9974,2268.42,2020-05-25,PayPal,9974
9975,1866.08,2023-05-14,Bank Transfer,9975
9976,812.69,2023-09-16,PayPal,9976
9977,1618.59,2022-09-07,Cash,9977
9978,1013.9,2023-01-31,Credit Card,9978
9979,2602.97,2021-05-26,Cash,9979
9980,2395.25,2020-11-13,Bank Transfer,9980
9981,1660.67,2020-08-26,Cash,9981
9982,2855.29,2021-10-03,PayPal,9982
9983,2251.32,2020-05-28,Bank Transfer,9983
9984,2045.64,2022-06-14,Bank Transfer,9984
9985,2781.24,2021-01-21,PayPal,9985
9986,1720.15,2020-07-04,PayPal,9986
9987,2544.01,2021-07-14,Cash,9987
9988,647.3,2023-11-09,Bank Transfer,9988
9989,2472.32,2020-06-19,PayPal,9989
9990,2900.55,2021-06-05,Bank Transfer,9990
9991,2808.42,2023-07-18,Bank Transfer,9991
9992,387.98,2023-09-11,PayPal,9992
9993,503.43,2021-06-06,Credit Card,9993
9994,2734.86,2020-03-02,Credit Card,9994
9995,433.0,2021-01-19,Cash,9995
9996,1326.87,2022-08-15,Bank Transfer,9996
9997,1481.04,2022-06-16,PayPal,9997
9998,1681.45,2020-09-04,Credit Card,9998
9999,2110.36,2023-04-26,Credit Card,9999
10000,757.0,2022-08-21,Cash,10000
10001,421.91,2023-11-18,Bank Transfer,10001
10002,485.55,2020-03-09,Bank Transfer,10002
10003,1587.49,2022-07-24,PayPal,10003
10004,1066.77,2021-06-02,PayPal,10004
10005,129.43,2023-04-04,Bank Transfer,10005
10006,2689.86,2020-02-16,Cash,10006
10007,1680.26,2022-10-13,Cash,10007
10008,289.58,2022-05-18,PayPal,10008
10009,1359.13,2020-11-23,Credit Card,10009
10010,1172.02,2021-08-19,Credit Card,10010
10011,293.53,2022-02-09,Credit Card,10011
10012,2138.99,2022-10-06,PayPal,10012
10013,864.56,2020-04-14,Bank Transfer,10013
10014,1913.65,2020-08-08,Bank Transfer,10014
10015,1677.49,2022-08-31,PayPal,10015
10016,108.37,2020-04-06,Credit Card,10016
10017,1425.8,2020-02-13,PayPal,10017
10018,980.75,2021-01-05,Cash,10018
10019,1256.61,2022-07-19,Bank Transfer,10019
10020,1547.21,2023-08-04,PayPal,10020
10021,1544.07,2023-02-13,PayPal,10021
10022,162.86,2021-08-17,Bank Transfer,10022
10023,2961.36,2020-05-31,PayPal,10023
10024,720.27,2020-02-25,Bank Transfer,10024
10025,2872.97,2020-01-24,PayPal,10025
10026,1488.11,2022-09-30,Bank Transfer,10026
10027,2088.4,2022-02-11,Cash,10027
10028,1983.96,2023-06-26,Cash,10028
10029,677.93,2020-10-25,Bank Transfer,10029
10030,2809.23,2023-05-11,Cash,10030
10031,2288.64,2022-12-19,Credit Card,10031
10032,1144.98,2023-09-30,PayPal,10032
10033,2418.25,2022-08-11,PayPal,10033
10034,182.68,2021-11-22,Credit Card,10034
10035,1849.72,2021-12-19,Cash,10035
10036,1903.0,2021-05-29,Credit Card,10036
10037,568.55,2020-08-01,PayPal,10037
10038,1004.79,2021-03-01,Cash,10038
10039,1713.09,2021-05-01,Credit Card,10039
10040,2479.42,2022-07-23,PayPal,10040
10041,866.15,2021-06-22,Bank Transfer,10041
10042,1927.73,2021-06-04,Bank Transfer,10042
10043,957.65,2022-12-06,Bank Transfer,10043
10044,2786.94,2022-11-04,Cash,10044
10045,1435.67,2021-07-11,Credit Card,10045
10046,312.16,2020-08-11,Bank Transfer,10046
10047,192.34,2023-10-22,Bank Transfer,10047
10048,535.06,2021-12-27,Cash,10048
10049,1801.12,2023-11-19,PayPal,10049
10050,1557.66,2020-07-25,Credit Card,10050
10051,1466.47,2023-08-03,Cash,10051
10052,2828.24,2021-01-14,Bank Transfer,10052
10053,1928.33,2022-11-19,PayPal,10053
10054,742.04,2022-12-15,Bank Transfer,10054
10055,1110.33,2022-03-28,Credit Card,10055
10056,1984.86,2021-02-04,PayPal,10056
10057,1603.83,2022-07-24,PayPal,10057
10058,1390.74,2023-08-08,Cash,10058
10059,2362.02,2023-02-20,PayPal,10059
10060,2188.66,2020-10-23,Bank Transfer,10060
10061,804.23,2020-10-27,Bank Transfer,10061
10062,917.15,2023-07-18,Cash,10062
10063,441.48,2022-03-06,PayPal,10063
10064,2842.71,2023-07-01,PayPal,10064
10065,566.36,2020-03-23,Bank Transfer,10065
10066,2672.38,2023-04-07,Bank Transfer,10066
10067,176.87,2023-03-30,Cash,10067
10068,2577.15,2021-12-03,PayPal,10068
10069,441.83,2021-01-06,Bank Transfer,10069
10070,701.46,2022-06-30,Bank Transfer,10070
10071,2897.34,2020-03-30,Credit Card,10071
10072,426.97,2021-07-31,Bank Transfer,10072
10073,1574.51,2021-12-30,Cash,10073
10074,1521.28,2020-07-04,Cash,10074
10075,1160.88,2021-07-21,Credit Card,10075
10076,1004.99,2021-04-17,PayPal,10076
10077,2095.41,2022-11-22,Cash,10077
10078,2057.81,2021-11-05,PayPal,10078
10079,787.38,2022-02-20,Bank Transfer,10079
10080,2805.02,2021-12-27,Cash,10080
10081,782.37,2020-01-22,Cash,10081
10082,899.39,2022-01-01,Bank Transfer,10082
10083,2556.87,2022-08-28,PayPal,10083
10084,1521.02,2021-10-22,Credit Card,10084
10085,430.76,2021-06-22,PayPal,10085
10086,441.9,2021-11-21,Credit Card,10086
10087,2623.81,2022-01-10,PayPal,10087
10088,1916.98,2023-03-04,PayPal,10088
10089,629.09,2023-08-19,PayPal,10089
10090,1173.14,2020-10-26,Credit Card,10090
10091,2265.96,2023-04-30,Bank Transfer,10091
10092,1860.29,2021-04-30,Cash,10092
10093,573.8,2022-08-02,PayPal,10093
10094,2748.22,2022-07-08,PayPal,10094
10095,1275.94,2021-01-07,Credit Card,10095
10096,144.05,2021-08-30,Bank Transfer,10096
10097,1965.05,2022-11-29,PayPal,10097
10098,1617.47,2021-07-02,Credit Card,10098
10099,2824.14,2021-06-07,Bank Transfer,10099
10100,2942.77,2020-03-09,Credit Card,10100
10101,306.27,2023-12-13,PayPal,10101
10102,1819.67,2023-12-27,Cash,10102
10103,2292.7,2021-02-14,Bank Transfer,10103
10104,1675.94,2022-12-14,Bank Transfer,10104
10105,1621.29,2022-03-04,Credit Card,10105
10106,2679.39,2022-10-01,Cash,10106
10107,1650.58,2023-04-09,Credit Card,10107
10108,1232.5,2021-09-12,Bank Transfer,10108
10109,1516.91,2020-10-22,Bank Transfer,10109
10110,2959.08,2022-05-13,Bank Transfer,10110
10111,2723.5,2021-04-25,Cash,10111
10112,1981.72,2022-03-30,PayPal,10112
10113,1788.73,2023-04-22,Bank Transfer,10113
10114,626.68,2021-03-14,Cash,10114
10115,2672.61,2023-04-10,Credit Card,10115
10116,1607.83,2020-08-05,Cash,10116
10117,246.02,2021-09-24,Cash,10117
10118,713.7,2020-07-04,PayPal,10118
10119,1471.74,2021-06-13,PayPal,10119
10120,1374.09,2022-09-08,Bank Transfer,10120
10121,540.74,2020-09-18,Bank Transfer,10121
10122,1741.22,2020-12-17,Cash,10122
10123,2677.24,2021-09-23,PayPal,10123
10124,1405.0,2021-10-28,Credit Card,10124
10125,2104.4,2023-03-16,Cash,10125
10126,1688.61,2020-12-24,Bank Transfer,10126
10127,534.02,2021-11-21,PayPal,10127
10128,2612.44,2020-09-29,Credit Card,10128
10129,730.42,2021-10-31,PayPal,10129
10130,2091.98,2021-03-20,Credit Card,10130
10131,1084.91,2022-11-23,Bank Transfer,10131
10132,289.03,2022-10-16,Bank Transfer,10132
10133,1713.3,2023-06-30,Bank Transfer,10133
10134,245.08,2021-10-26,Credit Card,10134
10135,1093.87,2023-09-21,Credit Card,10135
10136,2168.21,2023-07-02,Bank Transfer,10136
10137,513.74,2020-11-08,Cash,10137
10138,2281.24,2021-03-18,Bank Transfer,10138
10139,2007.83,2023-06-24,Credit Card,10139
10140,784.73,2022-03-14,PayPal,10140
10141,2796.12,2023-01-05,PayPal,10141
10142,1724.92,2021-12-29,PayPal,10142
10143,2427.15,2020-01-30,Bank Transfer,10143
10144,717.45,2022-04-14,Bank Transfer,10144
10145,827.5,2020-11-26,Credit Card,10145
10146,1340.7,2022-06-26,Credit Card,10146
10147,1743.97,2023-11-30,PayPal,10147
10148,1237.57,2022-11-03,Cash,10148
10149,2822.26,2020-05-20,Cash,10149
10150,912.72,2020-12-25,Bank Transfer,10150
10151,2387.46,2022-05-25,Cash,10151
10152,2531.1,2023-11-03,Credit Card,10152
10153,1669.71,2023-09-05,Cash,10153
10154,1491.11,2020-06-26,Cash,10154
10155,613.63,2020-08-09,Cash,10155
10156,1759.4,2023-04-05,Credit Card,10156
10157,2321.15,2021-04-06,Credit Card,10157
10158,125.26,2022-08-21,Bank Transfer,10158
10159,930.63,2021-07-09,Cash,10159
10160,2985.43,2022-04-06,PayPal,10160
10161,371.45,2022-10-27,Credit Card,10161
10162,2580.25,2023-03-21,Credit Card,10162
10163,2018.62,2023-03-18,PayPal,10163
10164,2090.73,2021-08-07,Bank Transfer,10164
10165,2556.55,2022-08-04,PayPal,10165
10166,2161.69,2020-02-18,Credit Card,10166
10167,1575.96,2023-01-01,Bank Transfer,10167
10168,630.89,2020-01-30,PayPal,10168
10169,2996.75,2021-06-28,PayPal,10169
10170,2636.58,2023-03-17,Credit Card,10170
10171,793.27,2023-05-12,Cash,10171
10172,386.38,2022-11-16,Cash,10172
10173,2279.04,2023-07-24,Cash,10173
10174,935.07,2020-12-14,Cash,10174
10175,2739.21,2022-08-27,Bank Transfer,10175
10176,1021.22,2023-01-14,Credit Card,10176
10177,2678.11,2021-01-18,Bank Transfer,10177
10178,1483.15,2022-01-08,PayPal,10178
10179,2143.69,2023-05-29,PayPal,10179
10180,1700.48,2023-04-05,Credit Card,10180
10181,332.19,2021-05-15,Credit Card,10181
10182,1307.86,2021-10-20,Cash,10182
10183,525.07,2020-10-08,PayPal,10183
10184,2671.61,2022-09-22,Credit Card,10184
10185,1176.09,2020-03-06,Cash,10185
10186,1619.84,2023-12-03,PayPal,10186
10187,2594.71,2023-03-02,Cash,10187
10188,2387.99,2020-01-28,Credit Card,10188
10189,1069.59,2022-07-02,Bank Transfer,10189
10190,1093.16,2023-08-14,Bank Transfer,10190
10191,1598.06,2022-01-18,Cash,10191
10192,2642.21,2020-08-06,Credit Card,10192
10193,282.83,2023-06-03,Bank Transfer,10193
10194,2485.48,2021-04-14,Credit Card,10194
10195,1267.11,2022-06-10,Credit Card,10195
10196,343.62,2023-08-29,Credit Card,10196
10197,993.28,2020-08-06,Cash,10197
10198,166.75,2021-05-06,Cash,10198
10199,1548.9,2021-09-12,Cash,10199
10200,2008.25,2022-12-03,PayPal,10200
10201,225.12,2023-08-29,Cash,10201
10202,2582.45,2022-04-24,Cash,10202
10203,1445.22,2020-03-09,PayPal,10203
10204,2432.1,2021-05-26,Bank Transfer,10204
10205,2372.87,2023-08-22,Cash,10205
10206,2141.54,2021-11-18,Cash,10206
10207,1847.5,2021-08-16,Bank Transfer,10207
10208,1577.64,2020-09-15,PayPal,10208
10209,987.14,2020-01-30,Credit Card,10209
10210,990.56,2021-09-14,Bank Transfer,10210
10211,2500.4,2020-02-23,PayPal,10211
10212,2496.84,2020-02-12,Bank Transfer,10212
10213,2002.4,2021-08-04,Cash,10213
10214,941.46,2022-05-04,Cash,10214
10215,1832.09,2021-06-15,Bank Transfer,10215
10216,2069.43,2021-09-01,Bank Transfer,10216
10217,1312.79,2021-06-26,Bank Transfer,10217
10218,603.54,2022-09-03,PayPal,10218
10219,177.98,2022-09-12,PayPal,10219
10220,1756.92,2022-12-30,Bank Transfer,10220
10221,750.24,2023-08-02,Cash,10221
10222,2804.74,2023-03-06,Bank Transfer,10222
10223,830.39,2023-01-13,PayPal,10223
10224,2666.43,2021-01-06,Credit Card,10224
10225,2571.33,2022-06-14,Cash,10225
10226,641.73,2023-10-10,Bank Transfer,10226
10227,343.55,2021-01-21,Bank Transfer,10227
10228,2804.94,2021-07-16,Bank Transfer,10228
10229,2110.18,2021-02-11,Bank Transfer,10229
10230,2179.64,2022-12-23,Cash,10230
10231,2409.25,2020-12-30,Bank Transfer,10231
10232,1721.47,2020-06-28,Cash,10232
10233,1084.9,2021-06-19,Bank Transfer,10233
10234,2939.62,2022-10-18,Cash,10234
10235,798.25,2020-05-08,Bank Transfer,10235
10236,438.04,2022-09-22,PayPal,10236
10237,2801.77,2022-08-10,PayPal,10237
10238,2704.94,2022-05-03,Cash,10238
10239,636.21,2022-01-31,Cash,10239
10240,1270.14,2023-10-06,Bank Transfer,10240
10241,2053.47,2020-09-11,Cash,10241
10242,938.96,2023-10-15,Cash,10242
10243,2129.71,2022-12-23,Cash,10243
10244,717.7,2023-10-13,Credit Card,10244
10245,2683.92,2020-01-15,PayPal,10245
10246,2431.08,2022-05-16,Credit Card,10246
10247,2676.99,2023-05-09,PayPal,10247
10248,1339.98,2020-03-24,Bank Transfer,10248
10249,106.05,2021-05-15,Credit Card,10249
10250,2821.17,2020-07-10,Credit Card,10250
10251,2024.28,2021-03-09,Bank Transfer,10251
10252,2350.01,2022-04-24,Cash,10252
10253,2447.94,2022-12-09,Cash,10253
10254,2109.05,2020-02-15,Credit Card,10254
10255,2181.43,2021-10-24,Cash,10255
10256,2505.56,2020-08-21,Cash,10256
10257,950.67,2023-02-11,Bank Transfer,10257
10258,2947.78,2023-09-10,PayPal,10258
10259,1756.4,2023-09-27,Bank Transfer,10259
10260,2232.68,2023-04-23,Bank Transfer,10260
10261,1445.0,2023-09-12,Bank Transfer,10261
10262,1286.91,2020-07-17,PayPal,10262
10263,1708.22,2022-01-18,PayPal,10263
10264,1737.9,2020-02-18,Credit Card,10264
10265,2868.35,2022-07-28,PayPal,10265
10266,448.51,2020-12-15,PayPal,10266
10267,1457.49,2022-10-22,Cash,10267
10268,1631.38,2022-11-18,PayPal,10268
10269,177.08,2021-06-27,Bank Transfer,10269
10270,2908.44,2020-08-30,Bank Transfer,10270
10271,543.5,2022-12-21,Bank Transfer,10271
10272,1428.35,2023-03-13,Credit Card,10272
10273,2118.27,2020-09-02,PayPal,10273
10274,2421.64,2021-07-24,PayPal,10274
10275,325.81,2023-12-09,Credit Card,10275
10276,2117.69,2020-03-15,Credit Card,10276
10277,1591.1,2023-07-31,Bank Transfer,10277
10278,2249.26,2022-05-25,Bank Transfer,10278
10279,1669.67,2022-08-10,PayPal,10279
10280,574.46,2020-09-16,Cash,10280
10281,525.11,2022-10-06,Credit Card,10281
10282,2387.56,2022-06-18,PayPal,10282
10283,2593.44,2022-11-05,Cash,10283
10284,1306.71,2023-01-12,Cash,10284
10285,2403.61,2022-06-24,Credit Card,10285
10286,474.44,2020-12-31,PayPal,10286
10287,1830.03,2021-09-15,Cash,10287
10288,1516.41,2022-01-30,Cash,10288
10289,623.99,2022-05-22,PayPal,10289
10290,972.36,2021-02-19,PayPal,10290
10291,1926.34,2023-11-14,Credit Card,10291
10292,2140.01,2021-03-30,Cash,10292
10293,1563.12,2023-10-21,PayPal,10293
10294,2666.74,2021-01-26,Cash,10294
10295,2208.58,2021-10-27,Bank Transfer,10295
10296,2544.71,2022-02-03,Cash,10296
10297,2369.64,2021-01-28,Credit Card,10297
10298,2852.29,2020-08-25,Cash,10298
10299,2658.9,2023-05-09,Credit Card,10299
10300,1969.04,2021-03-13,Credit Card,10300
10301,683.28,2022-04-08,PayPal,10301
10302,1948.43,2022-05-01,Cash,10302
10303,660.55,2022-12-17,Cash,10303
10304,1706.52,2020-03-25,PayPal,10304
10305,2417.11,2020-11-12,Bank Transfer,10305
10306,2082.26,2023-02-12,Cash,10306
10307,103.7,2020-07-13,Bank Transfer,10307
10308,1544.72,2023-01-11,PayPal,10308
10309,2671.01,2023-09-10,Credit Card,10309
10310,2264.02,2021-10-27,Credit Card,10310
10311,1237.39,2020-09-20,Cash,10311
10312,1878.89,2022-08-09,Credit Card,10312
10313,2629.47,2020-02-07,Cash,10313
10314,1690.68,2023-12-24,Credit Card,10314
10315,2726.22,2023-01-19,Cash,10315
10316,1209.1,2020-03-10,PayPal,10316
10317,358.57,2023-07-12,Bank Transfer,10317
10318,854.26,2023-01-31,Cash,10318
10319,1304.03,2021-10-28,Cash,10319
10320,393.94,2020-06-09,Cash,10320
10321,573.31,2023-05-05,Bank Transfer,10321
10322,1700.62,2022-04-01,Credit Card,10322
10323,395.28,2023-11-30,PayPal,10323
10324,1357.27,2020-12-17,Cash,10324
10325,2163.06,2021-10-26,Cash,10325
10326,2243.93,2023-07-24,Cash,10326
10327,2979.12,2022-05-19,Bank Transfer,10327
10328,1611.16,2021-06-24,Bank Transfer,10328
10329,2670.19,2021-06-23,Cash,10329
10330,2441.98,2020-02-11,PayPal,10330
10331,655.11,2023-03-19,Cash,10331
10332,2920.52,2022-11-18,Credit Card,10332
10333,1905.91,2023-09-23,PayPal,10333
10334,793.87,2023-01-21,Cash,10334
10335,147.43,2021-07-16,Bank Transfer,10335
10336,2062.79,2020-01-30,Cash,10336
10337,1693.59,2021-03-05,Bank Transfer,10337
10338,2142.55,2022-11-06,Credit Card,10338
10339,2475.41,2023-11-03,Credit Card,10339
10340,2445.67,2022-06-01,PayPal,10340
10341,540.42,2023-05-20,Bank Transfer,10341
10342,2876.33,2023-02-25,Credit Card,10342
10343,708.48,2021-01-27,Bank Transfer,10343
10344,2606.36,2023-12-03,Cash,10344
10345,2592.79,2023-04-17,PayPal,10345
10346,436.44,2022-04-17,Cash,10346
10347,453.08,2021-08-14,Bank Transfer,10347
10348,1885.95,2021-06-23,PayPal,10348
10349,2317.31,2020-01-22,Credit Card,10349
10350,1710.28,2023-05-02,Credit Card,10350
10351,1408.34,2023-11-25,Cash,10351
10352,1158.03,2023-09-18,PayPal,10352
10353,2140.68,2023-01-19,PayPal,10353
10354,2299.52,2020-05-29,Bank Transfer,10354
10355,178.07,2020-01-09,Credit Card,10355
10356,198.15,2023-07-04,Credit Card,10356
10357,696.72,2021-03-06,Credit Card,10357
10358,1358.84,2023-04-06,Cash,10358
10359,2349.15,2023-06-29,Credit Card,10359
10360,959.88,2021-10-06,Bank Transfer,10360
10361,1828.67,2021-11-18,Credit Card,10361
10362,2231.65,2020-10-03,Cash,10362
10363,2690.36,2020-07-21,Bank Transfer,10363
10364,2107.41,2021-08-28,Cash,10364
10365,2176.09,2020-05-23,Bank Transfer,10365
10366,2545.88,2021-06-24,Cash,10366
10367,1142.98,2020-01-14,Credit Card,10367
10368,2745.9,2020-08-05,Cash,10368
10369,1043.5,2023-12-05,PayPal,10369
10370,215.01,2022-02-23,Cash,10370
10371,1878.06,2020-08-24,PayPal,10371
10372,1268.76,2023-03-09,PayPal,10372
10373,2201.34,2021-05-23,Bank Transfer,10373
10374,1453.43,2022-09-05,Bank Transfer,10374
10375,201.04,2020-09-12,PayPal,10375
10376,150.2,2021-06-04,PayPal,10376
10377,1171.59,2021-10-24,Credit Card,10377
10378,2024.23,2021-09-20,Cash,10378
10379,576.5,2023-06-29,Credit Card,10379
10380,2957.9,2021-06-19,PayPal,10380
10381,2786.79,2022-08-03,Cash,10381
10382,279.94,2020-07-05,Bank Transfer,10382
10383,2638.61,2021-06-02,Credit Card,10383
10384,1475.89,2023-04-23,Cash,10384
10385,1044.74,2021-09-30,Credit Card,10385
10386,1129.13,2021-11-11,Credit Card,10386
10387,2621.31,2022-05-17,Credit Card,10387
10388,2518.98,2023-10-24,PayPal,10388
10389,246.29,2023-09-13,Cash,10389
10390,2292.69,2023-08-17,PayPal,10390
10391,638.14,2022-06-02,Bank Transfer,10391
10392,569.49,2020-07-27,Cash,10392
10393,818.37,2020-06-17,Cash,10393
10394,167.15,2023-03-14,Cash,10394
10395,1246.51,2020-02-07,Bank Transfer,10395
10396,2566.04,2020-05-06,Credit Card,10396
10397,2668.66,2022-02-04,Bank Transfer,10397
10398,695.8,2020-03-14,Cash,10398
10399,2157.77,2022-10-12,Bank Transfer,10399
10400,1240.01,2022-05-17,Cash,10400
10401,1212.99,2023-09-25,Cash,10401
10402,2574.77,2023-08-20,Cash,10402
10403,984.71,2022-10-14,PayPal,10403
10404,1585.23,2021-11-15,Bank Transfer,10404
10405,979.98,2023-09-13,Bank Transfer,10405
10406,2313.55,2023-03-30,PayPal,10406
10407,2770.59,2020-12-22,Credit Card,10407
10408,2673.31,2021-03-25,PayPal,10408
10409,1752.87,2021-10-19,Cash,10409
10410,2893.27,2021-09-04,Cash,10410
10411,1042.72,2023-11-08,Cash,10411
10412,1098.95,2021-11-12,Credit Card,10412
10413,2003.09,2021-02-21,Credit Card,10413
10414,1174.05,2022-02-18,Cash,10414
10415,2149.02,2021-12-23,Cash,10415
10416,1163.29,2021-08-10,Credit Card,10416
10417,794.28,2022-05-28,Cash,10417
10418,1542.95,2023-03-06,Cash,10418
10419,336.54,2023-04-22,Bank Transfer,10419
10420,709.53,2023-03-20,Bank Transfer,10420
10421,1064.07,2022-06-23,Bank Transfer,10421
10422,733.06,2021-02-16,PayPal,10422
10423,1922.16,2022-04-25,Bank Transfer,10423
10424,698.74,2022-10-23,PayPal,10424
10425,1736.94,2022-10-18,Cash,10425
10426,971.64,2020-01-08,Cash,10426
10427,1543.88,2021-12-13,Bank Transfer,10427
10428,1387.1,2023-05-07,Cash,10428
10429,1347.71,2022-12-06,Cash,10429
10430,2682.36,2020-02-02,PayPal,10430
10431,987.28,2023-01-19,Credit Card,10431
10432,1140.65,2022-11-30,PayPal,10432
10433,613.68,2021-12-09,Cash,10433
10434,608.15,2020-09-07,Bank Transfer,10434
10435,960.12,2022-12-09,Cash,10435
10436,538.99,2022-10-28,PayPal,10436
10437,847.05,2021-06-01,Bank Transfer,10437
10438,2837.03,2021-10-11,Credit Card,10438
10439,2149.7,2020-09-08,Credit Card,10439
10440,2833.14,2021-09-01,Cash,10440
10441,1156.75,2021-12-29,Cash,10441
10442,1604.87,2020-03-19,Cash,10442
10443,232.09,2023-08-31,Bank Transfer,10443
10444,2823.22,2023-09-27,PayPal,10444
10445,2850.24,2021-12-06,Bank Transfer,10445
10446,2074.08,2022-01-12,Bank Transfer,10446
10447,2602.92,2021-05-26,Cash,10447
10448,632.52,2022-08-21,Credit Card,10448
10449,422.57,2022-05-24,PayPal,10449
10450,2404.61,2022-08-15,Credit Card,10450
10451,1218.03,2021-09-30,Bank Transfer,10451
10452,1268.94,2023-12-17,PayPal,10452
10453,229.28,2021-12-04,PayPal,10453
10454,467.36,2020-11-16,Credit Card,10454
10455,2331.83,2023-05-09,Bank Transfer,10455
10456,1546.65,2020-04-10,Bank Transfer,10456
10457,170.29,2022-06-28,Credit Card,10457
10458,1653.57,2022-10-14,PayPal,10458
10459,837.11,2022-05-30,PayPal,10459
10460,559.45,2020-07-11,Bank Transfer,10460
10461,1073.68,2022-08-24,Cash,10461
10462,2430.35,2020-09-24,Bank Transfer,10462
10463,1601.75,2021-07-15,PayPal,10463
10464,1613.91,2021-02-18,Bank Transfer,10464
10465,2189.74,2020-01-29,Credit Card,10465
10466,2093.53,2022-05-21,Bank Transfer,10466
10467,110.83,2021-09-20,Cash,10467
10468,1471.28,2023-05-23,PayPal,10468
10469,2779.2,2023-06-19,Cash,10469
10470,2876.77,2023-05-31,Cash,10470
10471,1596.83,2023-11-20,Cash,10471
10472,1553.52,2023-12-28,PayPal,10472
10473,916.48,2022-09-26,Cash,10473
10474,1532.0,2020-11-06,PayPal,10474
10475,1341.73,2021-06-20,Credit Card,10475
10476,2713.59,2022-01-20,Credit Card,10476
10477,1663.24,2022-05-13,Bank Transfer,10477
10478,2831.52,2022-11-24,PayPal,10478
10479,1292.84,2023-12-12,Bank Transfer,10479
10480,2162.21,2021-06-01,Cash,10480
10481,1883.25,2020-12-21,Credit Card,10481
10482,1656.45,2021-01-20,Credit Card,10482
10483,2404.63,2021-12-30,PayPal,10483
10484,2259.11,2020-04-10,Bank Transfer,10484
10485,2960.76,2021-10-31,PayPal,10485
10486,2924.63,2022-09-21,PayPal,10486
10487,1872.63,2022-07-03,Credit Card,10487
10488,2566.36,2023-03-07,Bank Transfer,10488
10489,245.81,2022-08-10,Credit Card,10489
10490,1029.1,2022-10-26,Bank Transfer,10490
10491,2758.7,2021-10-11,Bank Transfer,10491
10492,1249.93,2021-09-26,PayPal,10492
10493,1039.6,2020-02-11,Credit Card,10493
10494,2183.75,2020-06-15,Bank Transfer,10494
10495,280.21,2020-01-15,PayPal,10495
10496,1356.14,2022-11-21,Cash,10496
10497,2201.73,2021-12-01,Cash,10497
10498,1302.78,2020-03-08,Credit Card,10498
10499,2331.5,2023-06-20,Credit Card,10499
